Cross Semivariogram     tail:Ag           head:Ag            direction  1 
  47       47.000      -.07329    96480         .11909         .07913
  48       48.000      -.07271    96145         .12119         .07966
  49       49.000      -.07207    95810         .12294         .08018
  50       50.000      -.07101    95475         .12439         .08073
  51       51.000      -.06966    95140         .12565         .08130
  52       52.000      -.06780    94805         .12668         .08196
  53       53.000      -.06580    94470         .12735         .08264
  54       54.000      -.06393    94135         .12782         .08329
  55       55.000      -.06186    93800         .12818         .08382
  56       56.000      -.05945    93465         .12840         .08436
  57       57.000      -.05676    93130         .12846         .08494
  58       58.000      -.05378    92795         .12840         .08546
  59       59.000      -.05040    92460         .12821         .08592
  60       60.000      -.04693    92125         .12790         .08627
  61       61.000      -.04300    91790         .12752         .08659
  62       62.000      -.03931    91455         .12706         .08678
  63       63.000      -.03586    91120         .12651         .08686
  64       64.000      -.03256    90785         .12574         .08687
  65       65.000      -.02946    90450         .12485         .08682
  66       66.000      -.02659    90115         .12378         .08674
  67       67.000      -.02369    89780         .12262         .08660
  68       68.000      -.02071    89445         .12152         .08647
  69       69.000      -.01783    89110         .12037         .08630
  70       70.000      -.01486    88775         .11923         .08613
  71       71.000      -.01220    88440         .11809         .08598
  72       72.000      -.01003    88105         .11681         .08583
  73       73.000      -.00814    87770         .11538         .08556
  74       74.000      -.00647    87435         .11380         .08518
  75       75.000      -.00530    87100         .11216         .08480
  76       76.000      -.00410    86765         .11054         .08448
  77       77.000      -.00266    86430         .10891         .08404
  78       78.000      -.00138    86095         .10734         .08363
  79       79.000       .00007    85760         .10590         .08323
  80       80.000       .00162    85425         .10464         .08288
  81       81.000       .00305    85090         .10338         .08257
  82       82.000       .00429    84755         .10211         .08226
  83       83.000       .00553    84420         .10098         .08207
  84       84.000       .00651    84085         .10003         .08193
  85       85.000       .00727    83750         .09919         .08171
  86       86.000       .00806    83415         .09857         .08156
  87       87.000       .00879    83080         .09807         .08164
  88       88.000       .00962    82745         .09762         .08177
  89       89.000       .01025    82410         .09752         .08195
  90       90.000       .01064    82075         .09769         .08203
  91       91.000       .01079    81740         .09807         .08203
  92       92.000       .01091    81405         .09860         .08202
  93       93.000       .01052    81070         .09921         .08197
  94       94.000       .00981    80735         .09989         .08195
  95       95.000       .00900    80400         .10062         .08185
  96       96.000       .00803    80065         .10117         .08174
  97       97.000       .00669    79730         .10164         .08167
  98       98.000       .00518    79395         .10224         .08168
  99       99.000       .00407    79060         .10274         .08166
 100      100.000       .00318    78725         .10318         .08173
Cross Semivariogram     tail:Ag           head:B             direction  1 
   1        1.000       .00013   111890         .00654         .01107
   2        2.000       .00006   111555         .00727         .01178
   3        3.000       .00024   111220         .00804         .01253
   4        4.000       .00067   110885         .00904         .01319
   5        5.000       .00130   110550         .01012         .01370
   6        6.000       .00195   110215         .01124         .01407
   7        7.000       .00252   109880         .01247         .01442
   8        8.000       .00298   109545         .01378         .01475
   9        9.000       .00307   109210         .01529         .01512
  10       10.000       .00282   108875         .01697         .01550
  11       11.000       .00215   108540         .01882         .01586
  12       12.000       .00075   108205         .02078         .01609
  13       13.000      -.00114   107870         .02290         .01619
  14       14.000      -.00378   107535         .02523         .01618
  15       15.000      -.00680   107200         .02778         .01602
  16       16.000      -.01040   106865         .03050         .01578
  17       17.000      -.01417   106530         .03311         .01547
  18       18.000      -.01789   106195         .03571         .01514
  19       19.000      -.02175   105860         .03828         .01474
  20       20.000      -.02560   105525         .04084         .01420
  21       21.000      -.02948   105190         .04350         .01355
  22       22.000      -.03353   104855         .04611         .01273
  23       23.000      -.03749   104520         .04860         .01173
  24       24.000      -.04149   104185         .05112         .01048
  25       25.000      -.04512   103850         .05360         .00911
  26       26.000      -.04864   103515         .05609         .00755
  27       27.000      -.05233   103180         .05866         .00570
  28       28.000      -.05609   102845         .06130         .00373
